Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 485664.00 || 232749 || 500 || 6958.00 || 2 || 640 || 46
2 || 487760.00 || 225623 || 500 || 5980.00 || 2 || 640 || 44
3 || 487960.00 || 355307 || 500 || 5750.00 || 2 || 640 || 65
4 || 485256.00 || 368106 || 500 || 7132.00 || 2 || 640 || 69
5 || 487188.00 || 176130 || 500 || 5376.00 || 2 || 640 || 34
6 || 486320.00 || 232306 || 500 || 5840.00 || 2 || 640 || 44
7 || 489056.00 || 240470 || 500 || 5612.00 || 2 || 640 || 43
8 || 486148.00 || 245066 || 500 || 6526.00 || 2 || 640 || 48
9 || 485440.00 || 360416 || 500 || 6850.00 || 2 || 640 || 69
10 || 484612.00 || 301458 || 500 || 7114.00 || 2 || 640 || 59
